activity_clean,next_activity,count
Get the Plug Data,Heat up Head,15
external,Call The Cottonbot with Data Collection,14
Turn the Machine On,Wait 2 seconds,14
Show End,Wait 2 seconds,14
Get the Plug Data,Clear Button,14
Measure the size of the Cotton Candy,Wait 2 seconds,14
Get the Environment Data,Heat up Head,14
Create Cotton Candy,Change to Time,13
external,Weigh the whole Cotton Candy and Throw Away,13
external,Weigh the whole Cotton Candy,13
external,Send UUID to registry,12
Fill Machine with Sugar,Sleep 1 Second,11
Sleep 1 Second,Set the Stick Number,11
Send UUID to registry,Initialize Time,11
external,Start Cooking Time,11
Show Start,Sleep 1 Second,10
Get the Environment Data,Wait 2 seconds,9
Initialize Time,Init Frame,9
Turn the Machine On,Sleep 1 Second,9
Weigh the whole Cotton Candy and Throw Away,Sleep 1 Second,9
Cools Down and Turns Off Machine,Wait 2 seconds,8
Wait 2 seconds,Turns Off Machine,8
Create Cotton Candy,Show End,8
Move to Position 5,Move down and get function,8
Weigh the whole Cotton Candy,Cools Down Machine,7
Calculate Differences,Measure the size of the Cotton Candy,7
Show as timestamps,Get the Environment Data,7
Calculate Differences,Calculate Differences,7
Wait 2 seconds,Clear Button,7
Turn the Machine On,Set the Stick Number,7
Set the Sugar Amount for Size,Sleep 1 Second,6
Get the Environment Data,Show as timestamps,6
Heat up Head,Get the Plug Data,6
external,Stop Time,6
external,Calculate Differences,6
external,Set cooldown time,6
Set the Sugar Amount for Size,Wait 2 seconds,5
Show End,Sleep 1 Second,5
Set cooldown time,Wait 2 seconds,4
Clear Button,Wait 2 seconds,4
Start Cooking Time,Get the Environment Data,4
Fill Machine with Sugar,Show Start,4
Turns Off Machine,Wait 2 seconds,4
Turns Off Machine,Stop Time,4
Move down and get function,external,3
Clear Button,Create Cotton Candy,3
Run until CC Head is optimally warm,Show Start,3
Heat up Head,Sleep 1 Second,3
Show End,Create Cotton Candy,3
Show End,Run until CC Head is optimally warm,3
Get the Plug Data,Show as timestamps,3
Sleep 1 Second,Start Cooking Time,3
Get the Environment Data,Change to Time,3
Create Cotton Candy,Clear Button,3
external,Go to the next available Stick,3
Start Cooking Time,external,3
Stop Time,external,3
Get the Plug Data,Calculate Times & Differences,3
Calculate Times & Differences,Get the Plug Data,3
Stop Time,Get the Plug Data,2
external,weigh_touch,2
Start Cooking Time,Get the Plug Data,2
Cools Down Machine,Wait 2 seconds,2
Calculate Times & Differences,Get the Environment Data,2
Set the Stick Number,Wait 2 seconds,2
Show Start,Set the Stick Number,2
Initialize Vars,Place Cotton Candy on Scale,1
Get the Environment Data,Calculate Differences,1
Initialize Vars,external,1
Get the Plug Data,Change to Time,1
Get the Environment Data,Calculate Times & Differences,1
Heat up Head,Cools Down Machine,1
Move down,external,1
Get the Plug Data,Get the Environment Data,1
Get the Plug Data,Stop Time,1
Calculate Times & Differences,Sleep 1 Second,1
Clear Button,Show End,1
Sleep 1 Second,Calculate Times & Differences,1
Calculate Times & Differences,external,1
Wait 2 seconds,Wait 2 seconds,1
Wait 2 seconds,Cools Down Machine,1
Turn the Machine On,Show End,1
Sleep 1 Second,Stop Time,1
Sleep 1 Second,Show as timestamps,1
Show Start,Run until CC Head is optimally warm,1
Place the Wood Stick in Center,Show End,1
Show Header,Get the Plug Data,1
Show End,Show Start,1
external,CUP_weight,1
Set the Stick Number,Show Start,1
Send UUID to registry,Initialize the Start position of the first Stick (0 for the first,1
Change to Time,Get the Environment Data,1
Set the Stick Number,Sleep 1 Second,1
